CloudPCID,CloudPCName,UserKey,RegionKey,BUKey,ProvisioningPolicy,LicenseSKU,Status,vCPU,MemoryGB,DiskGB,DiskType,OSVersion,IPAddress,AzureResourceGroup,ProvisionedDate,EnrolledDate,LastLoginDate,DaysSinceLastLogin,InactivityBucket
CPC-00001,CPC-USE-00001,1,1,12,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/256GB,InGracePeriod,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.1,rg-w365-use-12,2025-08-28,2025-08-28,2026-07-02,5,Active <15 Days
CPC-00002,CPC-BRS-00002,2,6,4,W365-LATAM-SharedOps,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.2,rg-w365-brs-04,2026-02-22,2026-02-22,2026-06-29,8,Active <15 Days
CPC-00003,CPC-EUW-00003,3,4,7,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.0.3,rg-w365-euw-07,2025-07-08,2025-07-08,2026-07-02,5,Active <15 Days
CPC-00004,CPC-SEA-00004,4,5,8,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.5.0.4,rg-w365-sea-08,2025-09-18,2025-09-20,2026-07-06,1,Active <15 Days
CPC-00005,CPC-EUW-00005,5,4,1,W365-EMEA-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.0.5,rg-w365-euw-01,2025-06-10,2025-06-11,2026-06-25,12,Active <15 Days
CPC-00006,CPC-USW-00006,6,2,1,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.6,rg-w365-usw-01,2026-04-25,2026-04-27,2026-07-02,5,Active <15 Days
CPC-00007,CPC-EUN-00007,7,3,1,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.7,rg-w365-eun-01,2025-06-28,2025-06-29,2026-07-03,4,Active <15 Days
CPC-00008,CPC-USE-00008,8,1,1,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.8,rg-w365-use-01,2025-06-09,2025-06-10,2026-07-05,2,Active <15 Days
CPC-00009,CPC-SEA-00009,9,5,9,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.9,rg-w365-sea-09,2026-04-12,2026-04-13,2026-03-16,113,45+ Days
CPC-00010,CPC-EUN-00010,10,3,9,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.10,rg-w365-eun-09,2025-11-18,2025-11-19,2026-06-28,9,Active <15 Days
CPC-00011,CPC-USW-00011,11,2,7,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.11,rg-w365-usw-07,2025-06-05,2025-06-06,2026-06-30,7,Active <15 Days
CPC-00012,CPC-BRS-00012,12,6,1,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.0.12,rg-w365-brs-01,2025-07-25,2025-07-25,2026-06-28,9,Active <15 Days
CPC-00013,CPC-USW-00013,13,2,6,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.13,rg-w365-usw-06,2026-02-28,2026-03-01,2026-07-03,4,Active <15 Days
CPC-00014,CPC-USE-00014,14,1,12,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.1.0.14,rg-w365-use-12,2025-08-06,2025-08-06,2026-07-02,5,Active <15 Days
CPC-00015,CPC-USW-00015,15,2,6,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.0.15,rg-w365-usw-06,2026-04-07,2026-04-08,2026-06-27,10,Active <15 Days
CPC-00016,CPC-USW-00016,16,2,10,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.2.0.16,rg-w365-usw-10,2025-07-05,2025-07-07,2026-07-07,0,Active <15 Days
CPC-00017,CPC-USW-00017,17,2,9,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.17,rg-w365-usw-09,2025-10-26,2025-10-28,2026-06-24,13,Active <15 Days
CPC-00018,CPC-USE-00018,18,1,12,W365-US-East-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 23H2,10.1.0.18,rg-w365-use-12,2025-12-23,2025-12-23,2026-07-03,4,Active <15 Days
CPC-00019,CPC-EUW-00019,19,4,7,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.0.19,rg-w365-euw-07,2025-10-18,2025-10-20,2026-07-03,4,Active <15 Days
CPC-00020,CPC-EUN-00020,20,3,6,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.20,rg-w365-eun-06,2025-08-29,2025-08-31,2026-06-29,8,Active <15 Days
CPC-00021,CPC-EUN-00021,21,3,4,W365-EMEA-North-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.0.21,rg-w365-eun-04,2025-10-11,2025-10-13,2026-05-10,58,45+ Days
CPC-00022,CPC-EUW-00022,22,4,1,W365-EMEA-West-Standard,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 24H2,10.4.0.22,rg-w365-euw-01,2025-09-27,2025-09-28,2026-07-06,1,Active <15 Days
CPC-00023,CPC-USW-00023,23,2,2,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.0.23,rg-w365-usw-02,2026-01-30,2026-01-31,2026-07-06,1,Active <15 Days
CPC-00024,CPC-USW-00024,24,2,6,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 10 Enterprise 22H2,10.2.0.24,rg-w365-usw-06,2025-11-29,2025-11-30,2026-07-06,1,Active <15 Days
CPC-00025,CPC-SEA-00025,25,5,5,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.0.25,rg-w365-sea-05,2026-06-18,2026-06-19,2026-07-04,3,Active <15 Days
CPC-00026,CPC-EUW-00026,26,4,2,W365-EMEA-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.0.26,rg-w365-euw-02,2025-10-01,2025-10-03,2026-06-25,12,Active <15 Days
CPC-00027,CPC-USE-00027,27,1,1,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.1.0.27,rg-w365-use-01,2026-04-14,2026-04-14,2026-06-28,9,Active <15 Days
