DateKey,Date,Year,Quarter,MonthNumber,MonthName,WeekStartDate,DayOfWeek,IsBusinessDay
20260409,2026-04-09,2026,Q2,4,April,2026-04-06,Thursday,True
20260410,2026-04-10,2026,Q2,4,April,2026-04-06,Friday,True
20260411,2026-04-11,2026,Q2,4,April,2026-04-06,Saturday,False
20260412,2026-04-12,2026,Q2,4,April,2026-04-06,Sunday,False
20260413,2026-04-13,2026,Q2,4,April,2026-04-13,Monday,True
20260414,2026-04-14,2026,Q2,4,April,2026-04-13,Tuesday,True
20260415,2026-04-15,2026,Q2,4,April,2026-04-13,Wednesday,True
20260416,2026-04-16,2026,Q2,4,April,2026-04-13,Thursday,True
20260417,2026-04-17,2026,Q2,4,April,2026-04-13,Friday,True
20260418,2026-04-18,2026,Q2,4,April,2026-04-13,Saturday,False
20260419,2026-04-19,2026,Q2,4,April,2026-04-13,Sunday,False
20260420,2026-04-20,2026,Q2,4,April,2026-04-20,Monday,True
20260421,2026-04-21,2026,Q2,4,April,2026-04-20,Tuesday,True
20260422,2026-04-22,2026,Q2,4,April,2026-04-20,Wednesday,True
20260423,2026-04-23,2026,Q2,4,April,2026-04-20,Thursday,True
20260424,2026-04-24,2026,Q2,4,April,2026-04-20,Friday,True
20260425,2026-04-25,2026,Q2,4,April,2026-04-20,Saturday,False
20260426,2026-04-26,2026,Q2,4,April,2026-04-20,Sunday,False
20260427,2026-04-27,2026,Q2,4,April,2026-04-27,Monday,True
20260428,2026-04-28,2026,Q2,4,April,2026-04-27,Tuesday,True
20260429,2026-04-29,2026,Q2,4,April,2026-04-27,Wednesday,True
20260430,2026-04-30,2026,Q2,4,April,2026-04-27,Thursday,True
20260501,2026-05-01,2026,Q2,5,May,2026-04-27,Friday,True
20260502,2026-05-02,2026,Q2,5,May,2026-04-27,Saturday,False
20260503,2026-05-03,2026,Q2,5,May,2026-04-27,Sunday,False
20260504,2026-05-04,2026,Q2,5,May,2026-05-04,Monday,True
20260505,2026-05-05,2026,Q2,5,May,2026-05-04,Tuesday,True
20260506,2026-05-06,2026,Q2,5,May,2026-05-04,Wednesday,True
20260507,2026-05-07,2026,Q2,5,May,2026-05-04,Thursday,True
20260508,2026-05-08,2026,Q2,5,May,2026-05-04,Friday,True
20260509,2026-05-09,2026,Q2,5,May,2026-05-04,Saturday,False
20260510,2026-05-10,2026,Q2,5,May,2026-05-04,Sunday,False
20260511,2026-05-11,2026,Q2,5,May,2026-05-11,Monday,True
20260512,2026-05-12,2026,Q2,5,May,2026-05-11,Tuesday,True
20260513,2026-05-13,2026,Q2,5,May,2026-05-11,Wednesday,True
20260514,2026-05-14,2026,Q2,5,May,2026-05-11,Thursday,True
20260515,2026-05-15,2026,Q2,5,May,2026-05-11,Friday,True
20260516,2026-05-16,2026,Q2,5,May,2026-05-11,Saturday,False
20260517,2026-05-17,2026,Q2,5,May,2026-05-11,Sunday,False
20260518,2026-05-18,2026,Q2,5,May,2026-05-18,Monday,True
20260519,2026-05-19,2026,Q2,5,May,2026-05-18,Tuesday,True
20260520,2026-05-20,2026,Q2,5,May,2026-05-18,Wednesday,True
20260521,2026-05-21,2026,Q2,5,May,2026-05-18,Thursday,True
20260522,2026-05-22,2026,Q2,5,May,2026-05-18,Friday,True
20260523,2026-05-23,2026,Q2,5,May,2026-05-18,Saturday,False
20260524,2026-05-24,2026,Q2,5,May,2026-05-18,Sunday,False
20260525,2026-05-25,2026,Q2,5,May,2026-05-25,Monday,True
20260526,2026-05-26,2026,Q2,5,May,2026-05-25,Tuesday,True
20260527,2026-05-27,2026,Q2,5,May,2026-05-25,Wednesday,True
20260528,2026-05-28,2026,Q2,5,May,2026-05-25,Thursday,True
20260529,2026-05-29,2026,Q2,5,May,2026-05-25,Friday,True
20260530,2026-05-30,2026,Q2,5,May,2026-05-25,Saturday,False
20260531,2026-05-31,2026,Q2,5,May,2026-05-25,Sunday,False
20260601,2026-06-01,2026,Q2,6,June,2026-06-01,Monday,True
20260602,2026-06-02,2026,Q2,6,June,2026-06-01,Tuesday,True
20260603,2026-06-03,2026,Q2,6,June,2026-06-01,Wednesday,True
20260604,2026-06-04,2026,Q2,6,June,2026-06-01,Thursday,True
20260605,2026-06-05,2026,Q2,6,June,2026-06-01,Friday,True
20260606,2026-06-06,2026,Q2,6,June,2026-06-01,Saturday,False
20260607,2026-06-07,2026,Q2,6,June,2026-06-01,Sunday,False
20260608,2026-06-08,2026,Q2,6,June,2026-06-08,Monday,True
20260609,2026-06-09,2026,Q2,6,June,2026-06-08,Tuesday,True
20260610,2026-06-10,2026,Q2,6,June,2026-06-08,Wednesday,True
20260611,2026-06-11,2026,Q2,6,June,2026-06-08,Thursday,True
20260612,2026-06-12,2026,Q2,6,June,2026-06-08,Friday,True
20260613,2026-06-13,2026,Q2,6,June,2026-06-08,Saturday,False
20260614,2026-06-14,2026,Q2,6,June,2026-06-08,Sunday,False
20260615,2026-06-15,2026,Q2,6,June,2026-06-15,Monday,True
20260616,2026-06-16,2026,Q2,6,June,2026-06-15,Tuesday,True
20260617,2026-06-17,2026,Q2,6,June,2026-06-15,Wednesday,True
20260618,2026-06-18,2026,Q2,6,June,2026-06-15,Thursday,True
20260619,2026-06-19,2026,Q2,6,June,2026-06-15,Friday,True
20260620,2026-06-20,2026,Q2,6,June,2026-06-15,Saturday,False
20260621,2026-06-21,2026,Q2,6,June,2026-06-15,Sunday,False
20260622,2026-06-22,2026,Q2,6,June,2026-06-22,Monday,True
20260623,2026-06-23,2026,Q2,6,June,2026-06-22,Tuesday,True
20260624,2026-06-24,2026,Q2,6,June,2026-06-22,Wednesday,True
20260625,2026-06-25,2026,Q2,6,June,2026-06-22,Thursday,True
20260626,2026-06-26,2026,Q2,6,June,2026-06-22,Friday,True
20260627,2026-06-27,2026,Q2,6,June,2026-06-22,Saturday,False
20260628,2026-06-28,2026,Q2,6,June,2026-06-22,Sunday,False
20260629,2026-06-29,2026,Q2,6,June,2026-06-29,Monday,True
20260630,2026-06-30,2026,Q2,6,June,2026-06-29,Tuesday,True
20260701,2026-07-01,2026,Q3,7,July,2026-06-29,Wednesday,True
20260702,2026-07-02,2026,Q3,7,July,2026-06-29,Thursday,True
20260703,2026-07-03,2026,Q3,7,July,2026-06-29,Friday,True
20260704,2026-07-04,2026,Q3,7,July,2026-06-29,Saturday,False
20260705,2026-07-05,2026,Q3,7,July,2026-06-29,Sunday,False
20260706,2026-07-06,2026,Q3,7,July,2026-07-06,Monday,True
20260707,2026-07-07,2026,Q3,7,July,2026-07-06,Tuesday,True
