MacDeviceID,DeviceName,UserKey,RegionKey,BUKey,SerialNumber,Model,OSVersion,EnrollmentDate,LastCheckInDate,Status
MAC-00001,MAC-SEA-00001,6016,5,2,C02N139X75K,Mac mini,macOS 14.7,2025-01-13,2026-07-05,Managed
MAC-00002,MAC-EUW-00002,3909,4,3,C026IDVMKMY,MacBook Pro 16,macOS 15.4,2025-08-10,2026-07-06,Managed
MAC-00003,MAC-EUN-00003,820,3,5,C02MZUHZTSU,Mac mini,macOS 14.7,2025-09-18,2026-07-05,Managed
MAC-00004,MAC-BRS-00004,8808,6,8,C028YF66JSI,MacBook Pro 16,macOS 15.5,2026-02-12,2026-07-04,Managed
MAC-00005,MAC-EUW-00005,4039,4,11,C021E17A6X6,MacBook Pro 14,macOS 15.5,2025-04-04,2026-07-05,Lost
MAC-00006,MAC-EUN-00006,13911,3,7,C02P4RAEALR,Mac mini,macOS 15.5,2025-05-30,2026-07-04,Managed
MAC-00007,MAC-BRS-00007,11048,6,7,C02GY7BEWH3,MacBook Air 13,macOS 15.4,2025-08-22,2026-07-06,Managed
MAC-00008,MAC-EUW-00008,4638,4,6,C02X4FL4SIA,iMac 24,macOS 15.5,2025-04-21,2026-07-07,Managed
MAC-00009,MAC-BRS-00009,12155,6,6,C02PWZ0XLIR,MacBook Pro 14,macOS 15.4,2025-08-10,2026-07-04,Managed
MAC-00010,MAC-EUN-00010,4112,3,7,C021GIJQ6WC,MacBook Pro 16,macOS 15.5,2025-02-15,2026-07-05,Managed
MAC-00011,MAC-USW-00011,11538,2,3,C02ZESYUQP6,MacBook Pro 14,macOS 15.5,2025-11-27,2026-07-04,Managed
MAC-00012,MAC-SEA-00012,13106,5,2,C02OBNN9V08,MacBook Pro 14,macOS 15.5,2024-08-02,2026-07-06,Managed
MAC-00013,MAC-EUN-00013,4372,3,9,C02I6P405BU,Mac mini,macOS 15.5,2026-05-19,2026-07-04,Managed
MAC-00014,MAC-EUW-00014,12025,4,1,C02RX51T48N,MacBook Pro 16,macOS 15.4,2025-12-15,2026-07-04,Managed
MAC-00015,MAC-USE-00015,13994,1,10,C02R7MNY9KS,iMac 24,macOS 15.5,2026-03-14,2026-07-06,Managed
MAC-00016,MAC-SEA-00016,2817,5,7,C0292B5GRPE,iMac 24,macOS 15.5,2025-12-13,2026-06-27,Managed
MAC-00017,MAC-USW-00017,3523,2,7,C022OWWGHL6,MacBook Pro 14,macOS 15.5,2024-09-09,2026-07-07,Managed
MAC-00018,MAC-BRS-00018,2802,6,4,C02R8IN5HOS,Mac mini,macOS 15.4,2026-01-02,2026-07-05,Managed
MAC-00019,MAC-USW-00019,1319,2,11,C02UAZ954S8,MacBook Pro 14,macOS 15.4,2025-11-10,2026-07-05,Managed
MAC-00020,MAC-BRS-00020,2590,6,9,C02K5JVIC8F,Mac mini,macOS 15.4,2024-08-18,2026-07-07,Managed
