CostMonth,BUKey,RegionKey,ServiceCategory,ConsumedUnits,UnitCost,MonthlyCost,Currency
2026-04-01,1,1,Windows 365 License,176,68.7532,12100.57,USD
2026-04-01,1,1,Cloud PC Compute,176,21.9207,3858.04,USD
2026-04-01,1,1,Cloud PC Storage,176,7.8351,1378.98,USD
2026-04-01,1,1,NAT Gateway,5438,0.0498,270.65,USD
2026-04-01,1,1,Monitoring / Exoprise,176,2.1647,380.99,USD
2026-04-01,1,1,Mac Management,17,6.0934,103.59,USD
2026-04-01,1,2,Windows 365 License,216,72.4803,15655.74,USD
2026-04-01,1,2,Cloud PC Compute,216,19.0128,4106.76,USD
2026-04-01,1,2,Cloud PC Storage,216,8.0812,1745.54,USD
2026-04-01,1,2,NAT Gateway,4284,0.0467,199.9,USD
2026-04-01,1,2,Monitoring / Exoprise,216,2.2937,495.44,USD
2026-04-01,1,2,Mac Management,25,5.7625,144.06,USD
2026-04-01,1,3,Windows 365 License,190,73.6543,13994.32,USD
2026-04-01,1,3,Cloud PC Compute,190,18.5413,3522.86,USD
2026-04-01,1,3,Cloud PC Storage,190,6.9057,1312.07,USD
2026-04-01,1,3,NAT Gateway,4954,0.0487,241.49,USD
2026-04-01,1,3,Monitoring / Exoprise,190,2.251,427.69,USD
2026-04-01,1,3,Mac Management,22,6.2911,138.4,USD
2026-04-01,1,4,Windows 365 License,218,69.6535,15184.46,USD
2026-04-01,1,4,Cloud PC Compute,218,20.4199,4451.54,USD
2026-04-01,1,4,Cloud PC Storage,218,7.1412,1556.78,USD
2026-04-01,1,4,NAT Gateway,1234,0.0496,61.24,USD
2026-04-01,1,4,Monitoring / Exoprise,218,2.1504,468.78,USD
2026-04-01,1,4,Mac Management,23,5.7163,131.47,USD
2026-04-01,1,5,Windows 365 License,198,69.7338,13807.28,USD
2026-04-01,1,5,Cloud PC Compute,198,18.6785,3698.34,USD
2026-04-01,1,5,Cloud PC Storage,198,7.6916,1522.94,USD
2026-04-01,1,5,NAT Gateway,2633,0.0497,130.92,USD
2026-04-01,1,5,Monitoring / Exoprise,198,2.1818,432.0,USD
