RunID,RunDateTime,DateKey,RegionKey,ProbeLocation,Service,TransactionName,Result,AvailabilityPct,ResponseTimeMs,NetworkLatencyMs,DnsTimeMs,AuthTimeMs,BrokerTimeMs,AlertSeverity,IncidentID
EXO-0000001,2026-06-08T00:00:00,20260608,1,New York Probe,Windows 365,Cloud PC Sign-in,Success,100.0,1163,56,72,338,733,None,
EXO-0000002,2026-06-08T00:00:00,20260608,1,New York Probe,Windows 365,Cloud PC Launch,Success,100.0,990,41,74,557,191,None,
EXO-0000003,2026-06-08T00:00:00,20260608,1,New York Probe,Windows 365,Teams Launch,Success,100.0,1543,51,53,203,883,None,
EXO-0000004,2026-06-08T00:00:00,20260608,1,New York Probe,Windows 365,Office App Launch,Success,100.0,743,27,34,341,125,None,
EXO-0000005,2026-06-08T00:00:00,20260608,1,New York Probe,Windows 365,OneDrive Sync,Success,100.0,556,39,60,265,194,None,
EXO-0000006,2026-06-08T00:00:00,20260608,2,Phoenix Probe,Windows 365,Cloud PC Sign-in,Success,100.0,1438,80,46,257,539,None,
EXO-0000007,2026-06-08T00:00:00,20260608,2,Phoenix Probe,Windows 365,Cloud PC Launch,Success,100.0,1005,86,41,554,191,None,
EXO-0000008,2026-06-08T00:00:00,20260608,2,Phoenix Probe,Windows 365,Teams Launch,Success,100.0,1551,59,70,100,211,None,
EXO-0000009,2026-06-08T00:00:00,20260608,2,Phoenix Probe,Windows 365,Office App Launch,Success,100.0,601,56,45,370,420,None,
EXO-0000010,2026-06-08T00:00:00,20260608,2,Phoenix Probe,Windows 365,OneDrive Sync,Success,100.0,579,41,59,403,406,None,
EXO-0000011,2026-06-08T00:00:00,20260608,3,Dublin Probe,Windows 365,Cloud PC Sign-in,Success,100.0,1314,39,45,81,582,None,
EXO-0000012,2026-06-08T00:00:00,20260608,3,Dublin Probe,Windows 365,Cloud PC Launch,Success,100.0,1084,76,44,491,859,None,
EXO-0000013,2026-06-08T00:00:00,20260608,3,Dublin Probe,Windows 365,Teams Launch,Success,100.0,1431,50,40,437,308,None,
EXO-0000014,2026-06-08T00:00:00,20260608,3,Dublin Probe,Windows 365,Office App Launch,Success,100.0,735,53,16,359,456,None,
EXO-0000015,2026-06-08T00:00:00,20260608,3,Dublin Probe,Windows 365,OneDrive Sync,Success,100.0,552,53,69,501,891,None,
EXO-0000016,2026-06-08T00:00:00,20260608,4,Amsterdam Probe,Windows 365,Cloud PC Sign-in,Success,100.0,1125,51,69,321,438,None,
EXO-0000017,2026-06-08T00:00:00,20260608,4,Amsterdam Probe,Windows 365,Cloud PC Launch,Success,100.0,1136,66,65,268,265,None,
EXO-0000018,2026-06-08T00:00:00,20260608,4,Amsterdam Probe,Windows 365,Teams Launch,Success,100.0,1730,85,19,501,897,None,
EXO-0000019,2026-06-08T00:00:00,20260608,4,Amsterdam Probe,Windows 365,Office App Launch,Success,100.0,689,50,52,324,225,None,
EXO-0000020,2026-06-08T00:00:00,20260608,4,Amsterdam Probe,Windows 365,OneDrive Sync,Success,100.0,539,75,59,389,231,None,
EXO-0000021,2026-06-08T00:00:00,20260608,5,Singapore Probe,Windows 365,Cloud PC Sign-in,Success,100.0,1620,96,49,581,162,None,
EXO-0000022,2026-06-08T00:00:00,20260608,5,Singapore Probe,Windows 365,Cloud PC Launch,Success,100.0,1055,131,54,291,514,None,
EXO-0000023,2026-06-08T00:00:00,20260608,5,Singapore Probe,Windows 365,Teams Launch,Success,100.0,1493,125,55,189,297,None,
