DateKey,Date,RegionKey,IngressGB,EgressGB,NATGatewayGB,EstimatedNATCost
20260608,2026-06-08,1,406.43,1204.94,573.74,18.54
20260608,2026-06-08,2,526.68,1618.63,1016.48,50.07
20260608,2026-06-08,3,905.09,2430.08,1327.29,44.29
20260608,2026-06-08,4,582.35,1944.64,1032.17,33.97
20260608,2026-06-08,5,801.5,1483.08,742.02,43.7
20260608,2026-06-08,6,318.79,1209.72,582.89,36.74
20260609,2026-06-09,1,562.51,2528.81,1109.03,45.53
20260609,2026-06-09,2,402.67,1591.2,1253.35,57.13
20260609,2026-06-09,3,378.97,1491.44,1037.06,49.98
20260609,2026-06-09,4,424.91,1711.03,870.82,25.52
20260609,2026-06-09,5,266.61,1236.98,471.43,30.5
20260609,2026-06-09,6,636.08,1543.57,1374.8,39.7
20260610,2026-06-10,1,588.65,1216.93,577.94,45.63
20260610,2026-06-10,2,414.48,1641.73,978.94,54.19
20260610,2026-06-10,3,329.69,1677.71,1002.69,50.43
20260610,2026-06-10,4,507.3,1480.26,990.57,33.09
20260610,2026-06-10,5,434.56,2359.98,1515.1,80.75
20260610,2026-06-10,6,516.0,2572.44,1486.01,50.9
20260611,2026-06-11,1,433.05,1108.87,1253.23,35.6
20260611,2026-06-11,2,413.0,662.12,920.38,42.33
20260611,2026-06-11,3,467.33,1077.28,937.64,37.44
20260611,2026-06-11,4,362.17,1637.01,551.27,42.01
20260611,2026-06-11,5,447.84,825.49,928.68,27.32
20260611,2026-06-11,6,629.02,2097.89,851.78,71.22
20260612,2026-06-12,1,387.77,736.77,549.31,41.33
20260612,2026-06-12,2,331.28,1972.86,842.61,47.65
20260612,2026-06-12,3,657.6,1711.89,1272.42,60.78
20260612,2026-06-12,4,504.05,2896.57,1776.52,45.58
20260612,2026-06-12,5,642.95,2533.13,1088.62,91.91
20260612,2026-06-12,6,327.77,1571.09,552.24,30.36
20260613,2026-06-13,1,237.19,1089.19,653.7,32.51
20260613,2026-06-13,2,594.69,2452.98,1481.51,55.91
20260613,2026-06-13,3,499.52,1883.79,584.12,46.82
20260613,2026-06-13,4,466.52,1671.02,835.11,35.29
20260613,2026-06-13,5,921.41,2526.16,1376.56,72.55
20260613,2026-06-13,6,466.27,1094.84,459.94,47.87
20260614,2026-06-14,1,528.72,1924.78,1545.73,46.84
20260614,2026-06-14,2,445.54,1530.83,614.03,29.41
20260614,2026-06-14,3,275.19,1452.29,870.13,35.47
20260614,2026-06-14,4,305.14,1612.37,730.5,23.21
20260614,2026-06-14,5,835.51,1470.44,1728.23,70.8
20260614,2026-06-14,6,366.02,1248.03,515.72,39.96
20260615,2026-06-15,1,498.33,1807.15,573.09,58.92
20260615,2026-06-15,2,873.25,2779.65,2061.26,81.88
20260615,2026-06-15,3,503.41,2591.85,1347.69,37.2
20260615,2026-06-15,4,286.83,1199.52,1057.41,40.3
20260615,2026-06-15,5,697.36,1254.57,1145.12,56.37
20260615,2026-06-15,6,511.54,1211.4,895.72,43.06
20260616,2026-06-16,1,573.96,2174.04,881.19,61.32
20260616,2026-06-16,2,409.48,1716.52,713.05,21.79
20260616,2026-06-16,3,373.71,1142.39,693.65,31.44
20260616,2026-06-16,4,575.4,2001.0,1463.76,78.44
20260616,2026-06-16,5,492.58,2080.14,1336.32,66.34
20260616,2026-06-16,6,468.46,1536.62,852.23,44.15
20260617,2026-06-17,1,489.97,2267.71,1131.93,37.22
20260617,2026-06-17,2,435.52,1334.85,1133.0,42.42
20260617,2026-06-17,3,492.33,2632.16,949.62,70.78
20260617,2026-06-17,4,217.44,1135.57,956.89,26.21
20260617,2026-06-17,5,893.18,1790.2,1967.31,91.27
20260617,2026-06-17,6,627.69,3025.16,1237.7,66.87
20260618,2026-06-18,1,576.35,2752.02,1703.85,48.67
20260618,2026-06-18,2,828.88,2531.52,859.33,41.67
20260618,2026-06-18,3,425.94,1408.57,692.0,43.84
20260618,2026-06-18,4,603.17,2592.06,1219.19,52.77
20260618,2026-06-18,5,595.53,1271.36,1190.28,52.31
20260618,2026-06-18,6,591.8,1492.28,1076.92,58.0
20260619,2026-06-19,1,536.98,1430.16,1326.49,65.69
20260619,2026-06-19,2,370.36,1092.98,978.91,46.73
20260619,2026-06-19,3,496.99,1775.24,724.99,49.17
20260619,2026-06-19,4,416.15,1896.39,668.5,36.48
20260619,2026-06-19,5,417.45,1200.62,876.31,38.64
20260619,2026-06-19,6,747.24,2026.79,1173.71,46.74
20260620,2026-06-20,1,580.31,2958.64,1193.94,46.3
20260620,2026-06-20,2,488.26,2302.18,1295.24,81.18
20260620,2026-06-20,3,868.94,1310.11,1548.07,59.53
20260620,2026-06-20,4,604.99,1486.44,1046.62,41.24
20260620,2026-06-20,5,613.75,1666.09,1213.56,74.96
20260620,2026-06-20,6,695.93,1257.74,702.57,47.92
20260621,2026-06-21,1,529.81,941.52,1164.41,36.3
20260621,2026-06-21,2,409.91,1277.96,1138.83,35.02
20260621,2026-06-21,3,323.19,1318.89,420.2,46.83
20260621,2026-06-21,4,305.62,954.18,1289.83,47.84
20260621,2026-06-21,5,365.13,1565.89,1312.99,60.75
20260621,2026-06-21,6,843.51,1890.02,1069.6,75.74
20260622,2026-06-22,1,685.72,1845.34,1590.55,40.22
20260622,2026-06-22,2,366.71,2038.9,612.95,49.93
20260622,2026-06-22,3,388.61,1561.62,744.3,57.96
20260622,2026-06-22,4,471.19,1320.08,1066.33,38.27
20260622,2026-06-22,5,497.76,1099.7,880.29,75.34
20260622,2026-06-22,6,395.43,1055.81,782.4,53.05
20260623,2026-06-23,1,617.67,948.04,764.1,38.98
20260623,2026-06-23,2,475.0,955.98,910.75,49.8
20260623,2026-06-23,3,329.58,1179.9,717.52,33.21
20260623,2026-06-23,4,539.54,2504.86,1547.51,44.97
20260623,2026-06-23,5,770.0,1633.9,866.93,63.44
20260623,2026-06-23,6,532.89,2587.59,1736.82,50.38
20260624,2026-06-24,1,280.1,1521.49,939.27,25.37
20260624,2026-06-24,2,485.44,1159.62,634.6,66.67
20260624,2026-06-24,3,393.86,917.31,985.63,42.04
20260624,2026-06-24,4,487.38,1234.74,935.94,49.42
20260624,2026-06-24,5,770.57,2941.04,1081.23,79.8
20260624,2026-06-24,6,628.04,2581.87,1702.4,48.97
20260625,2026-06-25,1,252.81,1554.7,457.79,30.92
20260625,2026-06-25,2,328.71,1047.28,1251.67,55.03
20260625,2026-06-25,3,506.08,1581.48,1003.07,56.89
20260625,2026-06-25,4,532.17,1607.42,1376.1,50.04
20260625,2026-06-25,5,642.71,1535.79,1204.33,45.21
20260625,2026-06-25,6,354.13,1512.06,1030.61,43.26
20260626,2026-06-26,1,543.49,2018.04,1521.09,54.49
20260626,2026-06-26,2,556.36,1016.37,1302.15,41.47
20260626,2026-06-26,3,498.55,2772.64,1551.15,60.12
20260626,2026-06-26,4,659.92,2565.82,1161.03,57.25
20260626,2026-06-26,5,661.39,2531.36,1197.97,31.41
20260626,2026-06-26,6,488.81,744.02,798.89,22.5
20260627,2026-06-27,1,410.24,935.06,712.08,23.43
20260627,2026-06-27,2,899.06,3291.47,2200.14,76.75
20260627,2026-06-27,3,831.25,1677.88,801.1,55.73
20260627,2026-06-27,4,680.62,2205.44,793.87,81.87
20260627,2026-06-27,5,238.09,1185.78,465.55,37.47
20260627,2026-06-27,6,528.38,1002.67,1078.09,60.25
