IncidentID,Service,IncidentTitle,Status,Severity,RegionKey,DetectedBy,StartDateTime,EndDateTime,MTTDMinutes,MTTRMinutes,ImpactedUsers,RootCauseCategory,PostIncidentReviewRequired
SH-00001,Windows 365,Sev3 - West US 2 user experience degradation,Open,Sev3,2,Microsoft Service Health,2026-04-27T22:18:00,2026-04-28T04:18:00,163,360,649,Client Endpoint,False
SH-00002,Windows 365,Sev2 - Southeast Asia user experience degradation,Resolved,Sev2,5,Exoprise,2026-04-22T13:45:00,2026-04-22T14:15:00,13,30,404,Network Path,True
SH-00003,Jamf,Sev3 - West US 2 user experience degradation,Monitoring,Sev3,2,User Escalation,2026-04-18T02:38:00,2026-04-18T03:38:00,85,60,1112,Authentication,False
SH-00004,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,Exoprise,2026-06-26T02:31:00,2026-06-26T04:31:00,124,120,101,Authentication,False
SH-00005,Windows 365,Sev3 - West Europe user experience degradation,Monitoring,Sev3,4,Exoprise,2026-06-13T16:49:00,2026-06-13T17:19:00,80,30,1185,Client Endpoint,False
SH-00006,Intune,Sev4 - Southeast Asia user experience degradation,Open,Sev4,5,Internal Monitoring,2026-05-17T05:53:00,2026-05-17T08:53:00,36,180,20,Authentication,False
SH-00007,Azure Networking,Sev2 - West Europe user experience degradation,Open,Sev2,4,Microsoft Service Health,2026-05-29T17:17:00,2026-05-29T21:17:00,14,240,1630,Network Path,True
SH-00008,Azure Networking,Sev3 - West Europe user experience degradation,Open,Sev3,4,Exoprise,2026-07-02T18:37:00,2026-07-03T06:37:00,109,720,612,Microsoft Platform,False
SH-00009,Windows 365,Sev2 - North Europe user experience degradation,Resolved,Sev2,3,Internal Monitoring,2026-06-10T02:14:00,2026-06-10T05:14:00,39,180,1431,Authentication,True
SH-00010,Windows 365,Sev2 - West Europe user experience degradation,Resolved,Sev2,4,Exoprise,2026-05-06T07:31:00,2026-05-06T08:01:00,2,30,1010,Authentication,True
SH-00011,Azure Networking,Sev2 - Brazil South user experience degradation,Resolved,Sev2,6,Exoprise,2026-07-01T07:22:00,2026-07-01T07:52:00,40,30,781,Microsoft Platform,True
SH-00012,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,Exoprise,2026-06-19T14:40:00,2026-06-20T02:40:00,107,720,1332,Network Path,False
SH-00013,Azure Networking,Sev3 - East US user experience degradation,Resolved,Sev3,1,User Escalation,2026-05-19T17:30:00,2026-05-19T17:45:00,94,15,1577,Authentication,False
SH-00014,Windows 365,Sev3 - West Europe user experience degradation,Resolved,Sev3,4,Microsoft Service Health,2026-06-17T02:46:00,2026-06-17T14:46:00,155,720,151,Authentication,False
SH-00015,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Internal Monitoring,2026-05-09T20:12:00,2026-05-09T20:27:00,117,15,1282,Client Endpoint,False
SH-00016,Azure Networking,Sev2 - Brazil South user experience degradation,Resolved,Sev2,6,Exoprise,2026-05-20T09:12:00,2026-05-20T17:12:00,37,480,195,Network Path,True
SH-00017,Windows 365,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,User Escalation,2026-04-30T22:13:00,2026-05-01T02:13:00,97,240,1005,Microsoft Platform,False
SH-00018,Azure Networking,Sev4 - Brazil South user experience degradation,Resolved,Sev4,6,Internal Monitoring,2026-05-04T00:30:00,,128,30,25,Capacity,False
SH-00019,Windows 365,Sev3 - West US 2 user experience degradation,Monitoring,Sev3,2,Exoprise,2026-06-13T22:13:00,2026-06-14T22:13:00,104,1440,1032,Provisioning,False
SH-00020,Windows 365,Sev4 - West US 2 user experience degradation,Monitoring,Sev4,2,Internal Monitoring,2026-04-12T22:53:00,2026-04-13T02:53:00,18,240,52,Provisioning,False
SH-00021,Windows 365,Sev3 - West Europe user experience degradation,Resolved,Sev3,4,Exoprise,2026-07-01T03:02:00,2026-07-01T07:02:00,49,240,386,Provisioning,False
SH-00022,Windows 365,Sev4 - West US 2 user experience degradation,Resolved,Sev4,2,Internal Monitoring,2026-04-22T17:28:00,2026-04-22T17:58:00,179,30,5,Client Endpoint,False
SH-00023,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,Microsoft Service Health,2026-06-29T09:37:00,2026-06-29T21:37:00,176,720,310,Provisioning,False
SH-00024,Intune,Sev4 - East US user experience degradation,Monitoring,Sev4,1,Microsoft Service Health,2026-04-15T01:59:00,2026-04-16T01:59:00,86,1440,43,Authentication,False
SH-00025,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Microsoft Service Health,2026-05-11T09:28:00,2026-05-11T10:28:00,98,60,834,Unknown,False
SH-00026,Windows 365,Sev2 - West US 2 user experience degradation,Monitoring,Sev2,2,Microsoft Service Health,2026-06-24T02:42:00,2026-06-24T14:42:00,41,720,1355,Provisioning,True
SH-00027,Windows 365,Sev4 - West US 2 user experience degradation,Monitoring,Sev4,2,Internal Monitoring,2026-06-13T10:16:00,2026-06-13T16:16:00,169,360,30,Capacity,False
SH-00028,Windows 365,Sev4 - Brazil South user experience degradation,Monitoring,Sev4,6,Internal Monitoring,2026-05-04T18:17:00,2026-05-05T00:17:00,91,360,39,Capacity,False
SH-00029,Intune,Sev4 - West Europe user experience degradation,Resolved,Sev4,4,User Escalation,2026-04-19T03:44:00,2026-04-20T03:44:00,95,1440,2,Provisioning,False
SH-00030,Windows 365,Sev3 - North Europe user experience degradation,Open,Sev3,3,User Escalation,2026-04-28T14:15:00,2026-04-28T17:15:00,71,180,657,Microsoft Platform,False
SH-00031,Windows 365,Sev3 - Southeast Asia user experience degradation,Monitoring,Sev3,5,User Escalation,2026-06-19T12:35:00,2026-06-19T15:35:00,161,180,665,Microsoft Platform,False
SH-00032,Windows 365,Sev4 - Southeast Asia user experience degradation,Resolved,Sev4,5,Exoprise,2026-05-18T02:21:00,2026-05-18T02:36:00,33,15,10,Provisioning,False
SH-00033,Azure Networking,Sev3 - West US 2 user experience degradation,Monitoring,Sev3,2,Exoprise,2026-07-06T21:11:00,,147,15,225,Unknown,False
SH-00034,Intune,Sev4 - West US 2 user experience degradation,Open,Sev4,2,Exoprise,2026-05-23T04:16:00,2026-05-24T04:16:00,127,1440,9,Provisioning,False
SH-00035,Windows 365,Sev3 - East US user experience degradation,Resolved,Sev3,1,Microsoft Service Health,2026-05-09T18:30:00,2026-05-09T21:30:00,148,180,904,Microsoft Platform,False
SH-00036,Intune,Sev4 - East US user experience degradation,Resolved,Sev4,1,Exoprise,2026-06-03T04:26:00,2026-06-03T16:26:00,46,720,13,Network Path,False
SH-00037,Intune,Sev2 - East US user experience degradation,Resolved,Sev2,1,Internal Monitoring,2026-06-11T02:21:00,2026-06-11T03:06:00,13,45,453,Unknown,True
SH-00038,Intune,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Microsoft Service Health,2026-05-10T03:47:00,2026-05-11T03:47:00,131,1440,31,Authentication,False
SH-00039,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,User Escalation,2026-06-02T10:01:00,2026-06-02T22:01:00,105,720,802,Unknown,False
SH-00040,Windows 365,Sev3 - West US 2 user experience degradation,Monitoring,Sev3,2,Microsoft Service Health,2026-06-17T15:12:00,2026-06-17T16:42:00,126,90,63,Client Endpoint,False
SH-00041,Windows 365,Sev3 - West US 2 user experience degradation,Monitoring,Sev3,2,Exoprise,2026-06-19T18:39:00,2026-06-20T00:39:00,68,360,521,Authentication,False
SH-00042,Intune,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Microsoft Service Health,2026-05-29T19:49:00,2026-05-29T20:34:00,83,45,45,Authentication,False
SH-00043,Intune,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,User Escalation,2026-07-02T05:25:00,2026-07-02T11:25:00,73,360,1202,Microsoft Platform,False
SH-00044,Intune,Sev4 - West US 2 user experience degradation,Open,Sev4,2,Exoprise,2026-07-06T14:10:00,2026-07-06T16:10:00,22,120,70,Authentication,False
SH-00045,Azure Networking,Sev3 - East US user experience degradation,Open,Sev3,1,Internal Monitoring,2026-05-25T02:48:00,2026-05-25T03:33:00,144,45,995,Capacity,False
SH-00046,Windows 365,Sev1 - North Europe user experience degradation,Open,Sev1,3,Internal Monitoring,2026-06-11T03:29:00,2026-06-11T04:59:00,6,90,517,Authentication,True
SH-00047,Windows 365,Sev3 - North Europe user experience degradation,Monitoring,Sev3,3,Microsoft Service Health,2026-04-18T16:06:00,2026-04-18T17:06:00,134,60,291,Unknown,False
SH-00048,Intune,Sev4 - West US 2 user experience degradation,Resolved,Sev4,2,User Escalation,2026-04-11T02:46:00,2026-04-11T08:46:00,157,360,67,Authentication,False
SH-00049,Azure Networking,Sev4 - West Europe user experience degradation,Monitoring,Sev4,4,Internal Monitoring,2026-07-05T21:27:00,,32,45,22,Client Endpoint,False
SH-00050,Windows 365,Sev1 - Brazil South user experience degradation,Open,Sev1,6,Exoprise,2026-07-02T16:37:00,2026-07-02T19:37:00,22,180,543,Network Path,True
SH-00051,Windows 365,Sev4 - West Europe user experience degradation,Monitoring,Sev4,4,Internal Monitoring,2026-06-13T07:37:00,2026-06-13T15:37:00,95,480,71,Unknown,False
SH-00052,Windows 365,Sev4 - Southeast Asia user experience degradation,Resolved,Sev4,5,Exoprise,2026-06-07T05:13:00,2026-06-07T05:58:00,89,45,77,Capacity,False
SH-00053,Intune,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,Internal Monitoring,2026-05-25T11:38:00,2026-05-25T13:38:00,140,120,740,Client Endpoint,False
SH-00054,Windows 365,Sev4 - West Europe user experience degradation,Resolved,Sev4,4,Exoprise,2026-06-24T06:02:00,2026-06-24T12:02:00,22,360,28,Client Endpoint,False
SH-00055,Intune,Sev2 - North Europe user experience degradation,Open,Sev2,3,Internal Monitoring,2026-04-11T16:34:00,2026-04-12T16:34:00,24,1440,960,Unknown,True
SH-00056,Intune,Sev3 - East US user experience degradation,Resolved,Sev3,1,User Escalation,2026-06-13T21:39:00,2026-06-13T22:39:00,160,60,595,Capacity,False
SH-00057,Windows 365,Sev3 - North Europe user experience degradation,Open,Sev3,3,Exoprise,2026-06-06T11:47:00,2026-06-06T15:47:00,58,240,864,Unknown,False
SH-00058,Intune,Sev2 - North Europe user experience degradation,Open,Sev2,3,Internal Monitoring,2026-06-01T14:44:00,2026-06-01T14:59:00,18,15,995,Microsoft Platform,True
SH-00059,Intune,Sev3 - Southeast Asia user experience degradation,Monitoring,Sev3,5,Exoprise,2026-05-07T04:33:00,2026-05-07T05:18:00,82,45,402,Microsoft Platform,False
SH-00060,Windows 365,Sev4 - Southeast Asia user experience degradation,Resolved,Sev4,5,Internal Monitoring,2026-04-16T19:39:00,2026-04-16T20:39:00,33,60,59,Network Path,False
SH-00061,Windows 365,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Exoprise,2026-07-02T08:32:00,2026-07-02T08:47:00,97,15,23,Microsoft Platform,False
SH-00062,Windows 365,Sev4 - East US user experience degradation,Resolved,Sev4,1,Microsoft Service Health,2026-06-14T09:30:00,2026-06-14T09:45:00,162,15,17,Network Path,False
SH-00063,Intune,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Microsoft Service Health,2026-05-15T21:59:00,2026-05-15T22:29:00,24,30,14,Capacity,False
SH-00064,Windows 365,Sev3 - Southeast Asia user experience degradation,Open,Sev3,5,Exoprise,2026-06-25T17:17:00,2026-06-26T05:17:00,18,720,541,Client Endpoint,False
SH-00065,Intune,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Microsoft Service Health,2026-06-06T23:45:00,2026-06-07T00:30:00,176,45,49,Provisioning,False
SH-00066,Windows 365,Sev2 - Southeast Asia user experience degradation,Monitoring,Sev2,5,Internal Monitoring,2026-04-14T15:48:00,2026-04-14T16:33:00,22,45,735,Provisioning,True
SH-00067,Windows 365,Sev3 - North Europe user experience degradation,Monitoring,Sev3,3,User Escalation,2026-06-08T12:41:00,2026-06-09T12:41:00,167,1440,463,Microsoft Platform,False
SH-00068,Windows 365,Sev2 - Brazil South user experience degradation,Resolved,Sev2,6,Microsoft Service Health,2026-04-21T05:32:00,,4,15,740,Authentication,True
SH-00069,Windows 365,Sev3 - Southeast Asia user experience degradation,Resolved,Sev3,5,Internal Monitoring,2026-05-22T03:14:00,2026-05-23T03:14:00,16,1440,2080,Microsoft Platform,False
SH-00070,Windows 365,Sev2 - Southeast Asia user experience degradation,Monitoring,Sev2,5,Internal Monitoring,2026-04-30T09:56:00,2026-04-30T10:41:00,37,45,1098,Unknown,True
SH-00071,Intune,Sev3 - West Europe user experience degradation,Open,Sev3,4,User Escalation,2026-06-13T13:17:00,2026-06-13T15:17:00,132,120,681,Capacity,False
SH-00072,Intune,Sev3 - West Europe user experience degradation,Resolved,Sev3,4,Microsoft Service Health,2026-04-13T21:07:00,2026-04-14T01:07:00,110,240,1137,Capacity,False
SH-00073,Windows 365,Sev2 - Brazil South user experience degradation,Resolved,Sev2,6,User Escalation,2026-06-22T13:53:00,2026-06-22T14:53:00,22,60,1902,Microsoft Platform,True
SH-00074,Microsoft 365,Sev3 - West Europe user experience degradation,Monitoring,Sev3,4,Microsoft Service Health,2026-06-20T00:53:00,2026-06-20T01:23:00,137,30,223,Network Path,False
SH-00075,Intune,Sev4 - Southeast Asia user experience degradation,Monitoring,Sev4,5,Exoprise,2026-04-15T01:03:00,2026-04-15T03:03:00,97,120,42,Unknown,False
SH-00076,Windows 365,Sev4 - West Europe user experience degradation,Resolved,Sev4,4,Exoprise,2026-06-04T23:18:00,2026-06-05T05:18:00,127,360,58,Client Endpoint,False
SH-00077,Windows 365,Sev3 - North Europe user experience degradation,Open,Sev3,3,Internal Monitoring,2026-04-09T03:40:00,2026-04-09T07:40:00,129,240,839,Unknown,False
SH-00078,Windows 365,Sev3 - Brazil South user experience degradation,Monitoring,Sev3,6,Exoprise,2026-05-29T06:20:00,,102,720,840,Client Endpoint,False
SH-00079,Intune,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,Exoprise,2026-07-03T16:35:00,2026-07-03T16:50:00,32,15,1635,Client Endpoint,False
SH-00080,Jamf,Sev2 - West US 2 user experience degradation,Resolved,Sev2,2,Internal Monitoring,2026-06-27T03:20:00,2026-06-27T03:35:00,7,15,1797,Microsoft Platform,True
SH-00081,Intune,Sev4 - Brazil South user experience degradation,Open,Sev4,6,User Escalation,2026-06-24T03:50:00,2026-06-24T11:50:00,66,480,14,Unknown,False
SH-00082,Windows 365,Sev1 - West Europe user experience degradation,Resolved,Sev1,4,Exoprise,2026-05-17T14:51:00,2026-05-17T15:51:00,44,60,1247,Provisioning,True
SH-00083,Windows 365,Sev3 - West Europe user experience degradation,Open,Sev3,4,Exoprise,2026-06-30T13:28:00,2026-06-30T19:28:00,88,360,502,Unknown,False
SH-00084,Windows 365,Sev4 - North Europe user experience degradation,Resolved,Sev4,3,Internal Monitoring,2026-06-09T03:22:00,2026-06-09T04:52:00,158,90,43,Microsoft Platform,False
SH-00085,Intune,Sev3 - North Europe user experience degradation,Monitoring,Sev3,3,Microsoft Service Health,2026-07-03T09:07:00,2026-07-03T09:52:00,159,45,149,Provisioning,False
SH-00086,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Exoprise,2026-06-13T19:29:00,,64,15,1104,Capacity,False
SH-00087,Windows 365,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,Internal Monitoring,2026-06-09T04:31:00,2026-06-09T08:31:00,79,240,1804,Microsoft Platform,False
SH-00088,Windows 365,Sev4 - Brazil South user experience degradation,Resolved,Sev4,6,Microsoft Service Health,2026-07-06T13:49:00,2026-07-06T15:19:00,117,90,49,Provisioning,False
SH-00089,Windows 365,Sev3 - Southeast Asia user experience degradation,Open,Sev3,5,Exoprise,2026-05-16T08:09:00,2026-05-16T12:09:00,147,240,229,Capacity,False
SH-00090,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,User Escalation,2026-06-26T15:19:00,2026-06-26T21:19:00,32,360,383,Capacity,False
SH-00091,Windows 365,Sev3 - Brazil South user experience degradation,Monitoring,Sev3,6,User Escalation,2026-05-02T10:55:00,2026-05-02T22:55:00,46,720,359,Network Path,False
SH-00092,Windows 365,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,Exoprise,2026-07-05T14:01:00,2026-07-05T14:31:00,40,30,78,Capacity,False
SH-00093,Windows 365,Sev4 - Brazil South user experience degradation,Resolved,Sev4,6,Microsoft Service Health,2026-06-15T09:52:00,2026-06-15T21:52:00,144,720,36,Network Path,False
SH-00094,Windows 365,Sev4 - East US user experience degradation,Monitoring,Sev4,1,Exoprise,2026-04-16T00:59:00,2026-04-16T04:59:00,161,240,72,Unknown,False
SH-00095,Intune,Sev4 - West Europe user experience degradation,Resolved,Sev4,4,Internal Monitoring,2026-05-18T17:19:00,,57,60,38,Microsoft Platform,False
SH-00096,Microsoft 365,Sev3 - Southeast Asia user experience degradation,Resolved,Sev3,5,Microsoft Service Health,2026-04-20T12:10:00,2026-04-20T14:10:00,177,120,1530,Network Path,False
SH-00097,Windows 365,Sev2 - Southeast Asia user experience degradation,Resolved,Sev2,5,Internal Monitoring,2026-05-12T07:39:00,2026-05-12T13:39:00,27,360,1476,Provisioning,True
SH-00098,Windows 365,Sev4 - Southeast Asia user experience degradation,Resolved,Sev4,5,Internal Monitoring,2026-05-09T17:29:00,2026-05-09T21:29:00,93,240,40,Unknown,False
SH-00099,Windows 365,Sev2 - Southeast Asia user experience degradation,Resolved,Sev2,5,User Escalation,2026-06-16T21:10:00,2026-06-17T01:10:00,15,240,243,Authentication,True
SH-00100,Windows 365,Sev3 - East US user experience degradation,Resolved,Sev3,1,Internal Monitoring,2026-04-20T03:18:00,2026-04-20T06:18:00,116,180,830,Unknown,False
SH-00101,Azure Networking,Sev3 - East US user experience degradation,Resolved,Sev3,1,User Escalation,2026-06-13T01:12:00,2026-06-13T01:42:00,99,30,569,Client Endpoint,False
SH-00102,Windows 365,Sev3 - North Europe user experience degradation,Monitoring,Sev3,3,Internal Monitoring,2026-04-14T04:15:00,2026-04-14T05:45:00,99,90,411,Authentication,False
SH-00103,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Internal Monitoring,2026-07-01T02:34:00,2026-07-01T08:34:00,23,360,1036,Network Path,False
SH-00104,Windows 365,Sev3 - Southeast Asia user experience degradation,Resolved,Sev3,5,Microsoft Service Health,2026-06-18T15:56:00,2026-06-19T15:56:00,64,1440,1168,Microsoft Platform,False
SH-00105,Windows 365,Sev3 - West Europe user experience degradation,Resolved,Sev3,4,Microsoft Service Health,2026-05-23T09:09:00,2026-05-23T09:39:00,172,30,1343,Provisioning,False
SH-00106,Windows 365,Sev3 - Brazil South user experience degradation,Resolved,Sev3,6,Microsoft Service Health,2026-04-10T04:18:00,2026-04-10T10:18:00,10,360,917,Unknown,False
SH-00107,Windows 365,Sev3 - Southeast Asia user experience degradation,Monitoring,Sev3,5,Internal Monitoring,2026-07-01T12:18:00,2026-07-01T12:48:00,168,30,1311,Client Endpoint,False
SH-00108,Jamf,Sev3 - West US 2 user experience degradation,Resolved,Sev3,2,Exoprise,2026-04-25T02:25:00,2026-04-25T04:25:00,29,120,1992,Network Path,False
SH-00109,Windows 365,Sev4 - Brazil South user experience degradation,Monitoring,Sev4,6,User Escalation,2026-04-12T15:23:00,2026-04-12T15:53:00,59,30,79,Provisioning,False
SH-00110,Windows 365,Sev2 - East US user experience degradation,Resolved,Sev2,1,User Escalation,2026-05-08T00:56:00,2026-05-09T00:56:00,8,1440,201,Microsoft Platform,True
SH-00111,Windows 365,Sev3 - Southeast Asia user experience degradation,Monitoring,Sev3,5,User Escalation,2026-06-12T04:05:00,2026-06-12T04:50:00,23,45,957,Microsoft Platform,False
SH-00112,Windows 365,Sev2 - Brazil South user experience degradation,Open,Sev2,6,Exoprise,2026-05-08T17:10:00,2026-05-08T21:10:00,41,240,582,Authentication,True
SH-00113,Intune,Sev3 - West Europe user experience degradation,Resolved,Sev3,4,User Escalation,2026-05-29T16:52:00,2026-05-29T19:52:00,29,180,195,Network Path,False
SH-00114,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Microsoft Service Health,2026-04-24T22:34:00,2026-04-24T23:34:00,156,60,967,Authentication,False
SH-00115,Windows 365,Sev4 - East US user experience degradation,Open,Sev4,1,Microsoft Service Health,2026-06-25T22:58:00,2026-06-26T00:28:00,50,90,14,Microsoft Platform,False
SH-00116,Windows 365,Sev4 - West US 2 user experience degradation,Open,Sev4,2,Microsoft Service Health,2026-05-16T07:20:00,2026-05-16T13:20:00,18,360,62,Provisioning,False
SH-00117,Windows 365,Sev3 - North Europe user experience degradation,Resolved,Sev3,3,Internal Monitoring,2026-05-16T05:50:00,2026-05-16T06:35:00,143,45,1046,Network Path,False
SH-00118,Intune,Sev3 - Southeast Asia user experience degradation,Resolved,Sev3,5,Microsoft Service Health,2026-04-18T00:56:00,2026-04-18T04:56:00,22,240,752,Authentication,False
SH-00119,Windows 365,Sev3 - East US user experience degradation,Open,Sev3,1,User Escalation,2026-06-08T09:50:00,2026-06-08T15:50:00,38,360,166,Capacity,False
SH-00120,Intune,Sev2 - West Europe user experience degradation,Resolved,Sev2,4,Internal Monitoring,2026-06-07T11:34:00,2026-06-07T11:49:00,25,15,229,Network Path,True
