DateKey,Date,Year,MonthName,MonthNumber,Quarter,DayName,ISOWeek
20250101,2025-01-01,2025,January,1,Q1,Wednesday,1
20250102,2025-01-02,2025,January,1,Q1,Thursday,1
20250103,2025-01-03,2025,January,1,Q1,Friday,1
20250104,2025-01-04,2025,January,1,Q1,Saturday,1
20250105,2025-01-05,2025,January,1,Q1,Sunday,1
20250106,2025-01-06,2025,January,1,Q1,Monday,2
20250107,2025-01-07,2025,January,1,Q1,Tuesday,2
20250108,2025-01-08,2025,January,1,Q1,Wednesday,2
20250109,2025-01-09,2025,January,1,Q1,Thursday,2
20250110,2025-01-10,2025,January,1,Q1,Friday,2
20250111,2025-01-11,2025,January,1,Q1,Saturday,2
20250112,2025-01-12,2025,January,1,Q1,Sunday,2
20250113,2025-01-13,2025,January,1,Q1,Monday,3
20250114,2025-01-14,2025,January,1,Q1,Tuesday,3
20250115,2025-01-15,2025,January,1,Q1,Wednesday,3
20250116,2025-01-16,2025,January,1,Q1,Thursday,3
20250117,2025-01-17,2025,January,1,Q1,Friday,3
20250118,2025-01-18,2025,January,1,Q1,Saturday,3
20250119,2025-01-19,2025,January,1,Q1,Sunday,3
20250120,2025-01-20,2025,January,1,Q1,Monday,4
20250121,2025-01-21,2025,January,1,Q1,Tuesday,4
20250122,2025-01-22,2025,January,1,Q1,Wednesday,4
20250123,2025-01-23,2025,January,1,Q1,Thursday,4
20250124,2025-01-24,2025,January,1,Q1,Friday,4
20250125,2025-01-25,2025,January,1,Q1,Saturday,4
20250126,2025-01-26,2025,January,1,Q1,Sunday,4
20250127,2025-01-27,2025,January,1,Q1,Monday,5
20250128,2025-01-28,2025,January,1,Q1,Tuesday,5
20250129,2025-01-29,2025,January,1,Q1,Wednesday,5
20250130,2025-01-30,2025,January,1,Q1,Thursday,5
20250131,2025-01-31,2025,January,1,Q1,Friday,5
20250201,2025-02-01,2025,February,2,Q1,Saturday,5
20250202,2025-02-02,2025,February,2,Q1,Sunday,5
20250203,2025-02-03,2025,February,2,Q1,Monday,6
20250204,2025-02-04,2025,February,2,Q1,Tuesday,6
20250205,2025-02-05,2025,February,2,Q1,Wednesday,6
20250206,2025-02-06,2025,February,2,Q1,Thursday,6
20250207,2025-02-07,2025,February,2,Q1,Friday,6
20250208,2025-02-08,2025,February,2,Q1,Saturday,6
20250209,2025-02-09,2025,February,2,Q1,Sunday,6
20250210,2025-02-10,2025,February,2,Q1,Monday,7
20250211,2025-02-11,2025,February,2,Q1,Tuesday,7
20250212,2025-02-12,2025,February,2,Q1,Wednesday,7
20250213,2025-02-13,2025,February,2,Q1,Thursday,7
20250214,2025-02-14,2025,February,2,Q1,Friday,7
20250215,2025-02-15,2025,February,2,Q1,Saturday,7
20250216,2025-02-16,2025,February,2,Q1,Sunday,7
20250217,2025-02-17,2025,February,2,Q1,Monday,8
20250218,2025-02-18,2025,February,2,Q1,Tuesday,8
20250219,2025-02-19,2025,February,2,Q1,Wednesday,8
20250220,2025-02-20,2025,February,2,Q1,Thursday,8
20250221,2025-02-21,2025,February,2,Q1,Friday,8
20250222,2025-02-22,2025,February,2,Q1,Saturday,8
20250223,2025-02-23,2025,February,2,Q1,Sunday,8
20250224,2025-02-24,2025,February,2,Q1,Monday,9
20250225,2025-02-25,2025,February,2,Q1,Tuesday,9
20250226,2025-02-26,2025,February,2,Q1,Wednesday,9
20250227,2025-02-27,2025,February,2,Q1,Thursday,9
20250228,2025-02-28,2025,February,2,Q1,Friday,9
20250301,2025-03-01,2025,March,3,Q1,Saturday,9
20250302,2025-03-02,2025,March,3,Q1,Sunday,9
20250303,2025-03-03,2025,March,3,Q1,Monday,10
20250304,2025-03-04,2025,March,3,Q1,Tuesday,10
20250305,2025-03-05,2025,March,3,Q1,Wednesday,10
20250306,2025-03-06,2025,March,3,Q1,Thursday,10
20250307,2025-03-07,2025,March,3,Q1,Friday,10
20250308,2025-03-08,2025,March,3,Q1,Saturday,10
20250309,2025-03-09,2025,March,3,Q1,Sunday,10
20250310,2025-03-10,2025,March,3,Q1,Monday,11
20250311,2025-03-11,2025,March,3,Q1,Tuesday,11
20250312,2025-03-12,2025,March,3,Q1,Wednesday,11
20250313,2025-03-13,2025,March,3,Q1,Thursday,11
20250314,2025-03-14,2025,March,3,Q1,Friday,11
20250315,2025-03-15,2025,March,3,Q1,Saturday,11
20250316,2025-03-16,2025,March,3,Q1,Sunday,11
20250317,2025-03-17,2025,March,3,Q1,Monday,12
20250318,2025-03-18,2025,March,3,Q1,Tuesday,12
20250319,2025-03-19,2025,March,3,Q1,Wednesday,12
20250320,2025-03-20,2025,March,3,Q1,Thursday,12
20250321,2025-03-21,2025,March,3,Q1,Friday,12
20250322,2025-03-22,2025,March,3,Q1,Saturday,12
20250323,2025-03-23,2025,March,3,Q1,Sunday,12
20250324,2025-03-24,2025,March,3,Q1,Monday,13
20250325,2025-03-25,2025,March,3,Q1,Tuesday,13
20250326,2025-03-26,2025,March,3,Q1,Wednesday,13
20250327,2025-03-27,2025,March,3,Q1,Thursday,13
20250328,2025-03-28,2025,March,3,Q1,Friday,13
20250329,2025-03-29,2025,March,3,Q1,Saturday,13
20250330,2025-03-30,2025,March,3,Q1,Sunday,13
20250331,2025-03-31,2025,March,3,Q1,Monday,14
20250401,2025-04-01,2025,April,4,Q2,Tuesday,14
20250402,2025-04-02,2025,April,4,Q2,Wednesday,14
20250403,2025-04-03,2025,April,4,Q2,Thursday,14
20250404,2025-04-04,2025,April,4,Q2,Friday,14
20250405,2025-04-05,2025,April,4,Q2,Saturday,14
20250406,2025-04-06,2025,April,4,Q2,Sunday,14
20250407,2025-04-07,2025,April,4,Q2,Monday,15
20250408,2025-04-08,2025,April,4,Q2,Tuesday,15
20250409,2025-04-09,2025,April,4,Q2,Wednesday,15
20250410,2025-04-10,2025,April,4,Q2,Thursday,15
20250411,2025-04-11,2025,April,4,Q2,Friday,15
20250412,2025-04-12,2025,April,4,Q2,Saturday,15
20250413,2025-04-13,2025,April,4,Q2,Sunday,15
20250414,2025-04-14,2025,April,4,Q2,Monday,16
20250415,2025-04-15,2025,April,4,Q2,Tuesday,16
20250416,2025-04-16,2025,April,4,Q2,Wednesday,16
20250417,2025-04-17,2025,April,4,Q2,Thursday,16
20250418,2025-04-18,2025,April,4,Q2,Friday,16
20250419,2025-04-19,2025,April,4,Q2,Saturday,16
20250420,2025-04-20,2025,April,4,Q2,Sunday,16
20250421,2025-04-21,2025,April,4,Q2,Monday,17
20250422,2025-04-22,2025,April,4,Q2,Tuesday,17
20250423,2025-04-23,2025,April,4,Q2,Wednesday,17
20250424,2025-04-24,2025,April,4,Q2,Thursday,17
20250425,2025-04-25,2025,April,4,Q2,Friday,17
20250426,2025-04-26,2025,April,4,Q2,Saturday,17
20250427,2025-04-27,2025,April,4,Q2,Sunday,17
20250428,2025-04-28,2025,April,4,Q2,Monday,18
20250429,2025-04-29,2025,April,4,Q2,Tuesday,18
20250430,2025-04-30,2025,April,4,Q2,Wednesday,18
20250501,2025-05-01,2025,May,5,Q2,Thursday,18
20250502,2025-05-02,2025,May,5,Q2,Friday,18
20250503,2025-05-03,2025,May,5,Q2,Saturday,18
20250504,2025-05-04,2025,May,5,Q2,Sunday,18
20250505,2025-05-05,2025,May,5,Q2,Monday,19
20250506,2025-05-06,2025,May,5,Q2,Tuesday,19
20250507,2025-05-07,2025,May,5,Q2,Wednesday,19
20250508,2025-05-08,2025,May,5,Q2,Thursday,19
20250509,2025-05-09,2025,May,5,Q2,Friday,19
20250510,2025-05-10,2025,May,5,Q2,Saturday,19
20250511,2025-05-11,2025,May,5,Q2,Sunday,19
20250512,2025-05-12,2025,May,5,Q2,Monday,20
20250513,2025-05-13,2025,May,5,Q2,Tuesday,20
20250514,2025-05-14,2025,May,5,Q2,Wednesday,20
20250515,2025-05-15,2025,May,5,Q2,Thursday,20
20250516,2025-05-16,2025,May,5,Q2,Friday,20
20250517,2025-05-17,2025,May,5,Q2,Saturday,20
20250518,2025-05-18,2025,May,5,Q2,Sunday,20
20250519,2025-05-19,2025,May,5,Q2,Monday,21
20250520,2025-05-20,2025,May,5,Q2,Tuesday,21
20250521,2025-05-21,2025,May,5,Q2,Wednesday,21
20250522,2025-05-22,2025,May,5,Q2,Thursday,21
20250523,2025-05-23,2025,May,5,Q2,Friday,21
20250524,2025-05-24,2025,May,5,Q2,Saturday,21
20250525,2025-05-25,2025,May,5,Q2,Sunday,21
20250526,2025-05-26,2025,May,5,Q2,Monday,22
20250527,2025-05-27,2025,May,5,Q2,Tuesday,22
20250528,2025-05-28,2025,May,5,Q2,Wednesday,22
20250529,2025-05-29,2025,May,5,Q2,Thursday,22
20250530,2025-05-30,2025,May,5,Q2,Friday,22
20250531,2025-05-31,2025,May,5,Q2,Saturday,22
20250601,2025-06-01,2025,June,6,Q2,Sunday,22
20250602,2025-06-02,2025,June,6,Q2,Monday,23
20250603,2025-06-03,2025,June,6,Q2,Tuesday,23
20250604,2025-06-04,2025,June,6,Q2,Wednesday,23
20250605,2025-06-05,2025,June,6,Q2,Thursday,23
20250606,2025-06-06,2025,June,6,Q2,Friday,23
20250607,2025-06-07,2025,June,6,Q2,Saturday,23
20250608,2025-06-08,2025,June,6,Q2,Sunday,23
20250609,2025-06-09,2025,June,6,Q2,Monday,24
20250610,2025-06-10,2025,June,6,Q2,Tuesday,24
