DocumentID,DocumentTitle,DocumentType,Domain,Owner,Version,LastReviewDate,NextReviewDate,ReviewStatus,SharePointURL
DOC-0001,Software Lifecycle Procedure 1,Meeting Slides,Vulnerability,owner11@example.com,v6,2025-03-14,2026-03-14,Draft,https://sharepoint.example.com/sites/euc/doc1
DOC-0002,Device Configuration Meeting Slides 2,Process Flow,Software Lifecycle,owner3@example.com,v2,2025-11-02,2026-11-02,Overdue,https://sharepoint.example.com/sites/euc/doc2
DOC-0003,Software Lifecycle Process Flow 3,Audit Evidence,Device Configuration,owner11@example.com,v6,2025-06-03,2026-06-03,Overdue,https://sharepoint.example.com/sites/euc/doc3
DOC-0004,Patch Standard 4,Procedure,Device Configuration,owner6@example.com,v4,2025-09-29,2026-09-29,Current,https://sharepoint.example.com/sites/euc/doc4
DOC-0005,Asset Lifecycle Audit Evidence 5,Process Flow,Vulnerability,owner8@example.com,v3,2025-08-27,2026-08-27,Due Soon,https://sharepoint.example.com/sites/euc/doc5
DOC-0006,Vulnerability Meeting Slides 6,Standard,Vulnerability,owner4@example.com,v1,2025-10-29,2026-10-29,Overdue,https://sharepoint.example.com/sites/euc/doc6
DOC-0007,Device Configuration Process Flow 7,Audit Evidence,Encryption,owner6@example.com,v5,2025-04-02,2026-04-02,Current,https://sharepoint.example.com/sites/euc/doc7
DOC-0008,Encryption Process Flow 8,Process Flow,Encryption,owner6@example.com,v1,2025-11-25,2026-11-25,Draft,https://sharepoint.example.com/sites/euc/doc8
DOC-0009,Asset Lifecycle Policy 9,Meeting Slides,Patch,owner12@example.com,v6,2025-03-27,2026-03-27,Due Soon,https://sharepoint.example.com/sites/euc/doc9
DOC-0010,Patch Process Flow 10,Meeting Slides,Patch,owner13@example.com,v3,2025-12-10,2026-12-10,Current,https://sharepoint.example.com/sites/euc/doc10
DOC-0011,Device Configuration Policy 11,Standard,Asset Lifecycle,owner4@example.com,v6,2025-01-03,2026-01-03,Overdue,https://sharepoint.example.com/sites/euc/doc11
DOC-0012,Asset Lifecycle Standard 12,Policy,Software Lifecycle,owner8@example.com,v6,2025-05-20,2026-05-20,Due Soon,https://sharepoint.example.com/sites/euc/doc12
DOC-0013,Device Configuration Process Flow 13,Standard,Software Lifecycle,owner8@example.com,v1,2025-02-04,2026-02-04,Current,https://sharepoint.example.com/sites/euc/doc13
DOC-0014,Encryption Meeting Slides 14,Meeting Slides,Asset Lifecycle,owner10@example.com,v6,2025-06-23,2026-06-23,Overdue,https://sharepoint.example.com/sites/euc/doc14
DOC-0015,Asset Lifecycle Meeting Slides 15,Procedure,Encryption,owner9@example.com,v3,2025-02-03,2026-02-03,Overdue,https://sharepoint.example.com/sites/euc/doc15
DOC-0016,Vulnerability Policy 16,Meeting Slides,Vulnerability,owner12@example.com,v5,2025-06-19,2026-06-19,Draft,https://sharepoint.example.com/sites/euc/doc16
DOC-0017,Patch Process Flow 17,Process Flow,Patch,owner10@example.com,v5,2025-08-28,2026-08-28,Current,https://sharepoint.example.com/sites/euc/doc17
