SnapshotDateKey,DeviceID,MissingCriticalPatches,MissingSecurityPatches,DaysSinceLastPatch,ComplianceStatus,SourceSystem,CollectedAt
20260101,DEV-00001,0,1,7,Compliant,Tanium,2026-01-01
20260101,DEV-00002,0,0,34,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00003,3,0,11,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00004,0,0,40,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00006,0,0,43,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00007,0,2,4,Compliant,Tanium,2026-01-01
20260101,DEV-00008,0,0,6,Compliant,Tanium,2026-01-01
20260101,DEV-00009,0,2,20,Compliant,Tanium,2026-01-04
20260101,DEV-00010,0,0,8,Compliant,Tanium,2026-01-03
20260101,DEV-00011,0,1,24,Compliant,Tanium,2026-01-02
20260101,DEV-00012,0,0,3,Compliant,Tanium,2026-01-05
20260101,DEV-00013,1,0,30,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00015,1,0,7,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00016,0,0,10,Compliant,Tanium,2026-01-04
20260101,DEV-00017,1,0,2,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00018,0,0,1,Compliant,Tanium,2026-01-05
20260101,DEV-00019,2,0,31,Non-Compliant,Tanium,2026-01-02
20260101,DEV-00021,1,0,2,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00022,2,0,11,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00023,0,0,25,Compliant,Tanium,2026-01-01
20260101,DEV-00024,0,3,15,Compliant,Tanium,2026-01-02
20260101,DEV-00025,0,0,21,Compliant,Tanium,2026-01-03
20260101,DEV-00026,3,1,36,Non-Compliant,Tanium,2026-01-05
20260101,DEV-00027,4,0,15,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00028,2,0,43,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00031,0,1,9,Compliant,Tanium,2026-01-01
20260101,DEV-00032,1,0,41,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00033,0,0,32,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00034,0,0,27,Compliant,Tanium,2026-01-03
20260101,DEV-00035,0,4,7,Compliant,Tanium,2026-01-02
20260101,DEV-00036,0,0,14,Compliant,Tanium,2026-01-02
20260101,DEV-00037,1,5,13,Non-Compliant,Tanium,2026-01-01
20260101,DEV-00038,0,0,2,Compliant,Tanium,2026-01-02
20260101,DEV-00039,0,0,11,Compliant,Tanium,2026-01-05
20260101,DEV-00040,0,0,45,Non-Compliant,Tanium,2026-01-04
20260101,DEV-00041,0,0,8,Compliant,Tanium,2026-01-02
20260101,DEV-00042,0,0,41,Non-Compliant,Tanium,2026-01-03
20260101,DEV-00044,1,2,4,Non-Compliant,Tanium,2026-01-03
