DeviceID,SoftwareID,Version,InstalledDate,SourceSystem,ComplianceStatus
DEV-00416,SW005,126.0,2025-05-06,Intune,Compliant
DEV-00416,SW002,8.0.421,2024-09-23,JAMF,Compliant
DEV-00416,SW004,2.5,2024-08-30,Tanium,Compliant
DEV-00416,SW003,24.1,2024-10-02,Intune,Compliant
DEV-00416,SW001,8.0.421,2024-07-10,Intune,Compliant
DEV-00157,SW005,15.4,2026-02-08,ServiceNow,Compliant
DEV-00157,SW003,15.4,2026-12-08,JAMF,Compliant
DEV-00157,SW002,126.0,2026-09-29,Intune,Compliant
DEV-00157,SW009,8.0.421,2026-01-10,ServiceNow,Non-Compliant
DEV-00157,SW001,126.0,2026-12-27,Intune,Compliant
DEV-00286,SW006,24.1,2025-12-17,Tanium,Compliant
DEV-00286,SW008,15.4,2026-05-12,Intune,Compliant
DEV-00286,SW003,126.0,2026-04-02,Intune,Compliant
DEV-00286,SW005,24.1,2025-05-15,JAMF,Compliant
DEV-00286,SW010,24.1,2025-05-08,JAMF,Compliant
DEV-00286,SW004,24.1,2025-05-22,Tanium,Compliant
DEV-00215,SW005,15.4,2025-04-16,Tanium,Compliant
DEV-00215,SW002,126.0,2025-05-02,JAMF,Compliant
DEV-00215,SW009,126.0,2025-07-08,Tanium,Non-Compliant
DEV-00215,SW004,8.0.421,2026-01-11,Intune,Compliant
DEV-00215,SW006,8.0.421,2026-01-12,Tanium,Compliant
DEV-00423,SW007,24.1,2023-05-07,Intune,Non-Compliant
DEV-00423,SW004,24.1,2024-05-28,JAMF,Compliant
DEV-00423,SW003,24.1,2024-02-04,ServiceNow,Compliant
DEV-00423,SW001,1.0,2024-06-29,Intune,Compliant
DEV-00423,SW005,126.0,2024-08-14,Tanium,Compliant
DEV-00423,SW002,8.0.421,2024-07-13,ServiceNow,Compliant
DEV-00226,SW001,15.4,2022-08-15,JAMF,Compliant
DEV-00226,SW008,126.0,2021-12-27,ServiceNow,Compliant
DEV-00226,SW009,8.0.421,2021-09-18,JAMF,Non-Compliant
DEV-00226,SW005,2.5,2022-07-27,Tanium,Compliant
DEV-00226,SW007,2.5,2021-11-09,Intune,Non-Compliant
DEV-00226,SW006,8.0.421,2022-03-18,ServiceNow,Compliant
DEV-00226,SW004,15.4,2021-08-20,Tanium,Compliant
DEV-00383,SW006,15.4,2022-07-19,Tanium,Compliant
DEV-00383,SW010,2.5,2023-03-28,Tanium,Compliant
DEV-00383,SW001,2.5,2022-06-25,JAMF,Compliant
DEV-00383,SW007,1.0,2022-09-08,Tanium,Non-Compliant
DEV-00383,SW002,2.5,2022-06-26,Tanium,Compliant
DEV-00391,SW006,126.0,2023-11-02,JAMF,Compliant
DEV-00391,SW008,15.4,2023-04-05,JAMF,Compliant
DEV-00391,SW010,1.0,2023-12-13,ServiceNow,Compliant
DEV-00391,SW001,15.4,2023-12-07,JAMF,Compliant
DEV-00391,SW004,1.0,2023-02-06,Tanium,Compliant
DEV-00391,SW003,24.1,2022-12-08,ServiceNow,Compliant
DEV-00391,SW002,15.4,2023-03-14,Tanium,Compliant
DEV-00391,SW007,2.5,2023-02-19,ServiceNow,Non-Compliant
DEV-00058,SW001,24.1,2021-03-10,Intune,Compliant
DEV-00058,SW002,1.0,2021-11-13,Tanium,Compliant
DEV-00058,SW005,15.4,2021-08-29,JAMF,Compliant
DEV-00058,SW004,8.0.421,2021-08-12,ServiceNow,Compliant
DEV-00058,SW006,1.0,2022-02-03,Tanium,Compliant
DEV-00058,SW010,1.0,2022-06-27,Tanium,Compliant
DEV-00058,SW008,8.0.421,2021-05-05,Intune,Compliant
DEV-00135,SW009,24.1,2025-09-22,Intune,Non-Compliant
DEV-00135,SW001,8.0.421,2025-03-06,ServiceNow,Compliant
DEV-00135,SW004,1.0,2024-11-06,Tanium,Compliant
DEV-00135,SW010,24.1,2025-07-08,ServiceNow,Compliant
DEV-00424,SW004,1.0,2024-12-06,Tanium,Compliant
