record_type,category,v3_command,v4_1_command,v3_parameter,v4_1_parameter,notes,example_v3,example_v4_1
global_variable,Global Variables,,,$dirFiles,$($adtSession.DirFiles),Path to the package Files folder.,$dirFiles\Application.msi,$($adtSession.DirFiles)\Application.msi
global_variable,Global Variables,,,$dirSupportFiles,$($adtSession.DirSupportFiles),Path to the package SupportFiles folder.,$dirSupportFiles\config.json,$($adtSession.DirSupportFiles)\config.json
global_variable,Global Variables,,,$dirAppDeployToolkit,Toolkit module/session path equivalent,Avoid hardcoding toolkit internals where possible. Use the 4.1 template/session model.,,
global_variable,Global Variables,,,$appVendor,$adtSession.AppVendor or custom variable,Application vendor metadata. Exact pattern depends on your v4.1 template standard.,,
global_variable,Global Variables,,,$appName,$adtSession.AppName or custom variable,Application name metadata. Exact pattern depends on your v4.1 template standard.,,
global_variable,Global Variables,,,$appVersion,$adtSession.AppVersion or custom variable,Application version metadata. Exact pattern depends on your v4.1 template standard.,,
global_variable,Global Variables,,,$deploymentType,v4.1 deployment/session model,Deployment type should be validated against the current v4.1 template.,,
global_variable,Global Variables,,,$deployMode,v4.1 deployment/session model,Deployment mode should be validated against the current v4.1 template.,,
global_variable,Global Variables,,,$mainExitCode,Close-ADTSession -ExitCode,Use the v4.1 session close pattern for exit handling.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-Action,-Action,"Install, Uninstall, Repair, Patch, ActiveSetup.",,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-Path,-FilePath,MSI path or filename.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-Transform,-Transforms,MST transform file.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-Parameters,-ArgumentList or -AdditionalArgumentList,Prefer -AdditionalArgumentList for MSI properties.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-AddParameters,-AdditionalArgumentList,Adds to default MSI arguments.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-SecureParameters,-SecureArgumentList,Hides sensitive arguments from logs.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-WorkingDirectory,-WorkingDirectory,Usually defaults to MSI location.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-IgnoreExitCodes,-IgnoreExitCodes,Prefer explicit success/reboot code handling where possible.,,
command_parameter_mapping,Execution,Execute-MSI,Start-ADTMsiProcess,-PassThru,-PassThru,Returns process result.,,
command_parameter_mapping,Execution,Execute-MSP,Start-ADTMspProcess,-Path,-FilePath,MSP patch path.,,
command_parameter_mapping,Execution,Execute-MSP,Start-ADTMspProcess,-Parameters,-ArgumentList or -AdditionalArgumentList,Patch arguments.,,
command_parameter_mapping,Execution,Execute-MSP,Start-ADTMspProcess,-WorkingDirectory,-WorkingDirectory,Optional.,,
command_parameter_mapping,Execution,Execute-MSP,Start-ADTMspProcess,-IgnoreExitCodes,-IgnoreExitCodes,Use carefully.,,
command_parameter_mapping,Execution,Execute-MSP,Start-ADTMspProcess,-PassThru,-PassThru,Returns process result.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-Path,-FilePath,"EXE, CMD, script path.",,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-Parameters,-ArgumentList,Command-line arguments.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-WindowStyle,-WindowStyle,"Normal, Hidden, Minimized, Maximized.",,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-CreateNoWindow,-CreateNoWindow,Suppress new window.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-WorkingDirectory,-WorkingDirectory,Working directory.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-NoWait,-NoWait,Do not wait for completion.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-WaitForMsiExec,-WaitForMsiExec,Wait for other MSI executions.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-IgnoreExitCodes,-IgnoreExitCodes,Ignore specific exit codes.,,
command_parameter_mapping,Execution,Execute-Process,Start-ADTProcess,-PassThru,-PassThru,Return process object.,,
command_parameter_mapping,Execution,Execute-ProcessAsUser,Start-ADTProcessAsUser,-Path,-FilePath,Run in logged-on user context.,,
command_parameter_mapping,Execution,Execute-ProcessAsUser,Start-ADTProcessAsUser,-Parameters,-ArgumentList,User-context arguments.,,
command_parameter_mapping,Execution,Execute-ProcessAsUser,Start-ADTProcessAsUser,-Wait / -NoWait,-NoWait,Validate behavior during migration.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-CloseApps,-CloseProcesses,App/process closure handling.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-Silent,-Silent,Suppress UI.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-CloseAppsCountdown,-CloseProcessesCountdown,Countdown before closing apps.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-ForceCloseAppsCountdown,-ForceCloseProcessesCountdown,Force close after countdown.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-PersistPrompt,-PersistPrompt,Keep prompt visible.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-BlockExecution,-BlockExecution,Prevent app launch during deployment.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-AllowDefer,-AllowDefer,Enable deferral.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-AllowDeferCloseApps,-AllowDeferCloseProcesses,Defer when apps/processes are open.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-DeferTimes,-DeferTimes,Number of deferrals.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-DeferDays,-DeferDays,Deferral window in days.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-DeferDeadline,-DeferDeadline,Hard deferral deadline.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-MinimizeWindows,-MinimizeWindows,Minimize open windows.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-TopMost,-TopMost,Keep prompt on top.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-CheckDiskSpace,-CheckDiskSpace,Validate free disk.,,
command_parameter_mapping,User Interaction,Show-InstallationWelcome,Show-ADTInstallationWelcome,-RequiredDiskSpace,-RequiredDiskSpace,Required disk space value.,,
command_parameter_mapping,User Interaction,Show-InstallationProgress,Show-ADTInstallationProgress,-StatusMessage,-StatusMessage,Progress message.,,
command_parameter_mapping,User Interaction,Show-InstallationProgress,Show-ADTInstallationProgress,-WindowLocation,-WindowLocation,Progress window location.,,
command_parameter_mapping,User Interaction,Show-InstallationProgress,Show-ADTInstallationProgress,-TopMost,-TopMost,Keep progress on top.,,
command_parameter_mapping,User Interaction,Close-InstallationProgress,Close-ADTInstallationProgress,,,Close progress dialog. No common parameters.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-Message,-Message,Prompt message.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-ButtonRightText,-ButtonRightText,Right button text.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-ButtonLeftText,-ButtonLeftText,Left button text.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-ButtonMiddleText,-ButtonMiddleText,Middle button text.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-Icon,-Icon,Dialog icon.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-NoWait,-NoWait,Do not wait for response.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-PersistPrompt,-PersistPrompt,Keep prompt visible.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-Timeout,-Timeout,Timeout seconds.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-ExitOnTimeout,-ExitOnTimeout,Exit when timed out.,,
command_parameter_mapping,User Interaction,Show-InstallationPrompt,Show-ADTInstallationPrompt,-TopMost,-TopMost,Keep prompt on top.,,
command_parameter_mapping,User Interaction,Show-InstallationRestartPrompt,Show-ADTInstallationRestartPrompt,-CountdownSeconds,-CountdownSeconds,Restart countdown.,,
command_parameter_mapping,User Interaction,Show-InstallationRestartPrompt,Show-ADTInstallationRestartPrompt,-CountdownNoHideSeconds,-CountdownNoHideSeconds,Prevent hiding during countdown.,,
command_parameter_mapping,User Interaction,Show-InstallationRestartPrompt,Show-ADTInstallationRestartPrompt,-NoCountdown,-NoCountdown,No visible countdown.,,
command_parameter_mapping,User Interaction,Show-InstallationRestartPrompt,Show-ADTInstallationRestartPrompt,-NoSilentRestart,-NoSilentRestart,Prevent silent restart.,,
command_parameter_mapping,User Interaction,Show-InstallationRestartPrompt,Show-ADTInstallationRestartPrompt,-SilentCountdownSeconds,-SilentCountdownSeconds,Silent restart countdown.,,
command_parameter_mapping,User Interaction,Show-BalloonTip,Show-ADTBalloonTip,-BalloonTipText,-BalloonTipText,Notification text.,,
command_parameter_mapping,User Interaction,Show-BalloonTip,Show-ADTBalloonTip,-BalloonTipTitle,-BalloonTipTitle,Notification title.,,
command_parameter_mapping,User Interaction,Show-BalloonTip,Show-ADTBalloonTip,-BalloonTipIcon,-BalloonTipIcon,Notification icon.,,
command_parameter_mapping,User Interaction,Show-BalloonTip,Show-ADTBalloonTip,-BalloonTipTime,-BalloonTipTime,Display time.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-Text,-Text,Dialog text.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-Title,-Title,Dialog title.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-Buttons,-Buttons,Button set.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-Icon,-Icon,Dialog icon.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-DefaultButton,-DefaultButton,Default selected button.,,
command_parameter_mapping,User Interaction,Show-DialogBox,Show-ADTDialogBox,-TopMost,-TopMost,Keep dialog on top.,,
command_parameter_mapping,User Interaction,Show-WelcomePrompt,Show-ADTInstallationWelcome,Legacy prompt parameters,Refactor manually,No clean 1:1 wrapper.,,
command_parameter_mapping,Registry,Get-RegistryKey,Get-ADTRegistryKey,-Key,-LiteralPath,"Registry key path. In PSADT 4.1, use -LiteralPath for exact paths; -Path is available when wildcard matching is needed. -Key is an alias for -LiteralPath.",,
command_parameter_mapping,Registry,Get-RegistryKey,Get-ADTRegistryKey,-Value,-Name,Registry value name.,,
command_parameter_mapping,Registry,Set-RegistryKey,Set-ADTRegistryKey,-Key,-LiteralPath,"Registry key path. In PSADT 4.1, the canonical parameter is -LiteralPath; -Key is an alias.",,
command_parameter_mapping,Registry,Set-RegistryKey,Set-ADTRegistryKey,-Name,-Name,Registry value name.,,
command_parameter_mapping,Registry,Set-RegistryKey,Set-ADTRegistryKey,-Value,-Value,Registry value data.,,
command_parameter_mapping,Registry,Set-RegistryKey,Set-ADTRegistryKey,-Type,-Type,"String, DWord, QWord, Binary, MultiString.",,
command_parameter_mapping,Registry,Set-RegistryKey,Set-ADTRegistryKey,-SID,Validate manually,Often better handled with all-users registry logic.,,
command_parameter_mapping,Registry,Remove-RegistryKey,Remove-ADTRegistryKey,-Key,-LiteralPath,"Registry key path. In PSADT 4.1, use -LiteralPath for exact paths; -Path is available when wildcard matching is needed. -Key is an alias for -LiteralPath.",,
command_parameter_mapping,Registry,Remove-RegistryKey,Remove-ADTRegistryKey,-Name,-Name,Remove value.,,
command_parameter_mapping,Registry,Remove-RegistryKey,Remove-ADTRegistryKey,-Recurse,-Recurse,Remove subkeys.,,
command_parameter_mapping,Registry,Test-RegistryValue,Test-ADTRegistryValue,-Key,-Key,Registry key path.,,
command_parameter_mapping,Registry,Test-RegistryValue,Test-ADTRegistryValue,-Value,-Name,Registry value name.,,
command_parameter_mapping,Registry,Convert-RegistryPath,Convert-ADTRegistryPath,-Key,Validate against current function reference,Registry path conversion helper. Validate exact parameter name before automated migration.,,
command_parameter_mapping,Registry,Invoke-HKCURegistrySettingsForAllUsers,Invoke-ADTAllUsersRegistryAction,-RegistrySettings,Scriptblock/action model,Refactor carefully.,,
command_parameter_mapping,File / Folder,Copy-File,Copy-ADTFile,-Path,-Path,Source path.,,
command_parameter_mapping,File / Folder,Copy-File,Copy-ADTFile,-Destination,-Destination,Destination path.,,
command_parameter_mapping,File / Folder,Copy-File,Copy-ADTFile,-Recurse,-Recurse,Copy folder recursively.,,
command_parameter_mapping,File / Folder,Copy-File,Copy-ADTFile,-Flatten,-Flatten,Flatten source structure.,,
command_parameter_mapping,File / Folder,Copy-File,Copy-ADTFile,-ContinueOnError,Validate manually,Review v4.1 error-handling behavior.,,
command_parameter_mapping,File / Folder,Remove-File,Remove-ADTFile,-Path,-Path,File path.,,
command_parameter_mapping,File / Folder,Remove-File,Remove-ADTFile,-Recurse,-Recurse,Recursive removal.,,
command_parameter_mapping,File / Folder,Remove-File,Remove-ADTFile,-ContinueOnError,Validate manually,Review v4.1 error-handling behavior.,,
command_parameter_mapping,File / Folder,New-Folder,New-ADTFolder,-Path,-Path,Create folder.,,
command_parameter_mapping,File / Folder,Remove-Folder,Remove-ADTFolder,-Path,-Path,Remove folder.,,
command_parameter_mapping,File / Folder,Remove-Folder,Remove-ADTFolder,-ContinueOnError,Validate manually,Review v4.1 error-handling behavior.,,
command_parameter_mapping,File / Folder,Copy-FileToUserProfiles,Copy-ADTFileToUserProfiles,-Path,-Path,Source file.,,
command_parameter_mapping,File / Folder,Copy-FileToUserProfiles,Copy-ADTFileToUserProfiles,-Destination,-Destination,User profile destination.,,
command_parameter_mapping,File / Folder,Remove-FileFromUserProfiles,Remove-ADTFileFromUserProfiles,-Path,-Path,Remove file from profiles.,,
command_parameter_mapping,File / Folder,Copy-ContentToCache,Copy-ADTContentToCache,Cache/content parameters,Cache/content parameters,Less common for Intune packaging.,,
command_parameter_mapping,File / Folder,Remove-ContentFromCache,Remove-ADTContentFromCache,Cache parameters,Cache parameters,Less common.,,
command_parameter_mapping,File / Folder,Remove-InvalidFileNameChars,Remove-ADTInvalidFileNameChars,String/path input,String/path input,Sanitize file names.,,
command_parameter_mapping,File / Folder,New-ZipFile,New-ADTZipFile,-Path,-Path,Source.,,
command_parameter_mapping,File / Folder,New-ZipFile,New-ADTZipFile,-Destination,-Destination,Zip destination.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-Path,-Path,Shortcut path.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-TargetPath,-TargetPath,Target executable/path.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-Arguments,-Arguments,Shortcut arguments.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-IconLocation,-IconLocation,Icon file/path.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-Description,-Description,Shortcut description.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-WorkingDirectory,-WorkingDirectory,Start-in folder.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-WindowStyle,-WindowStyle,Window mode.,,
command_parameter_mapping,Shortcut,New-Shortcut,New-ADTShortcut,-RunAsAdmin,-RunAsAdmin,Run elevated.,,
command_parameter_mapping,Shortcut,Get-Shortcut,Get-ADTShortcut,-Path,-Path,Read shortcut.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-Path,-Path,Shortcut path.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-TargetPath,-TargetPath,Update target.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-Arguments,-Arguments,Update arguments.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-IconLocation,-IconLocation,Update icon.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-Description,-Description,Update description.,,
command_parameter_mapping,Shortcut,Set-Shortcut,Set-ADTShortcut,-WorkingDirectory,-WorkingDirectory,Update working directory.,,
command_parameter_mapping,INI / Config,Get-IniValue,Get-ADTIniValue,-FilePath,-FilePath,INI file path.,,
command_parameter_mapping,INI / Config,Get-IniValue,Get-ADTIniValue,-Section,-Section,INI section.,,
command_parameter_mapping,INI / Config,Get-IniValue,Get-ADTIniValue,-Key,-Key,INI key.,,
command_parameter_mapping,INI / Config,Set-IniValue,Set-ADTIniValue,-FilePath,-FilePath,INI file path.,,
command_parameter_mapping,INI / Config,Set-IniValue,Set-ADTIniValue,-Section,-Section,INI section.,,
command_parameter_mapping,INI / Config,Set-IniValue,Set-ADTIniValue,-Key,-Key,INI key.,,
command_parameter_mapping,INI / Config,Set-IniValue,Set-ADTIniValue,-Value,-Value,INI value.,,
command_parameter_mapping,INI / Config,No common v3 equivalent,Set-ADTIniSection,N/A,-FilePath,INI file path.,,
command_parameter_mapping,INI / Config,No common v3 equivalent,Set-ADTIniSection,N/A,-Section,INI section.,,
command_parameter_mapping,INI / Config,No common v3 equivalent,Set-ADTIniSection,N/A,-Content,Section content.,,
command_parameter_mapping,INI / Config,No common v3 equivalent,Set-ADTIniSection,N/A,-Force,Force operation.,,
command_parameter_mapping,Services / Processes,Stop-ServiceAndDependencies,Stop-ADTServiceAndDependencies,-Name,-Name,Stop service and dependencies.,,
command_parameter_mapping,Services / Processes,Start-ServiceAndDependencies,Start-ADTServiceAndDependencies,-Name,-Name,Start service and dependencies.,,
command_parameter_mapping,Services / Processes,Get-ServiceStartMode,Get-ADTServiceStartMode,-Name,-Name,Read service start mode.,,
command_parameter_mapping,Services / Processes,Set-ServiceStartMode,Set-ADTServiceStartMode,-Name,-Name,Service name.,,
command_parameter_mapping,Services / Processes,Set-ServiceStartMode,Set-ADTServiceStartMode,-StartMode,-StartMode,"Automatic, Manual, Disabled.",,
command_parameter_mapping,Services / Processes,Test-ServiceExists,Test-ADTServiceExists,-Name,-Name,Test service presence.,,
command_parameter_mapping,Services / Processes,Get-RunningProcesses,Get-ADTRunningProcesses,Process matching parameters,Process matching parameters,Refactor carefully.,,
command_parameter_mapping,Services / Processes,Block-AppExecution,Block-ADTAppExecution,App/process blocking parameters,App/process blocking parameters,Used with app closure workflows.,,
command_parameter_mapping,Services / Processes,Unblock-AppExecution,Unblock-ADTAppExecution,Usually none/scope,Usually none/scope,Removes execution block.,,
command_parameter_mapping,Installed Apps / MSI,Get-InstalledApplication,Get-ADTApplication,-Name,-Name,Find installed app.,,
command_parameter_mapping,Installed Apps / MSI,Get-InstalledApplication,Get-ADTApplication,-ProductCode,-ProductCode,Find by MSI GUID.,,
